pid,trial_index,stimulus_song,target_song,emotion,arousal,valence,correct
1,31,audio/2_Boser_Wolf.mp3,sad,happy,6,5,FALSE
1,32,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,7,1,TRUE
1,33,audio/5_Love's_Requiem.mp3,sad,sad,5,6,TRUE
1,34,audio/12_Skinny_Love.mp3,sad,sad,6,3,TRUE
1,35,audio/26_Make_Light.mp3,happy,happy,6,7,TRUE
1,36,audio/1_The_Sweetest.mp3,relaxed,relaxed,5,6,TRUE
1,37,audio/13_Boser_Wolf.mp3,sad,none of these,5,6,FALSE
1,38,audio/4_Make_Light.mp3,happy,happy,6,5,TRUE
1,39,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,none of these,5,5,FALSE
1,40,audio/4_Mbube.mp3,relaxed,happy,5,5,FALSE
1,41,audio/12_Skank_Down.mp3,happy,happy,6,7,TRUE
2,0,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,happy,6,6,FALSE
2,1,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,6,2,TRUE
2,2,audio/1_The_Sweetest.mp3,relaxed,relaxed,4,5,TRUE
2,3,audio/1_Be_Happy.mp3,happy,relaxed,4,4,FALSE
2,4,audio/4_Destiny.mp3,relaxed,happy,6,6,FALSE
2,5,audio/1_Skinny_Love.mp3,sad,sad,4,5,TRUE
2,6,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,sad,5,3,TRUE
2,7,audio/4_Mbube.mp3,relaxed,relaxed,3,6,TRUE
2,8,audio/5_Valerie.mp3,happy,none of these,5,3,FALSE
2,9,audio/2_Incomplete.mp3,angry,angry,5,2,TRUE
2,10,audio/2_Blood_On_The_Ground.mp3,angry,angry,5,2,TRUE
2,11,audio/4_Make_Light.mp3,happy,none of these,4,3,FALSE
2,12,audio/2_Love's_Requiem.mp3,sad,sad,2,3,TRUE
2,13,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,sad,3,2,TRUE
2,14,audio/3_Old_Blacktop.mp3,sad,sad,2,2,TRUE
2,15,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,sad,3,3,TRUE
2,16,audio/24_Restless.mp3,happy,none of these,4,3,FALSE
2,17,audio/5_Get_Lucky.mp3,happy,sad,2,3,FALSE
2,18,audio/15_Here_Today.mp3,sad,sad,2,3,TRUE
2,19,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,sad,2,3,TRUE
2,20,audio/5_Love's_Requiem.mp3,sad,sad,3,3,TRUE
2,21,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,2,4,TRUE
2,22,audio/9_Pain_(Live_Version).mp3,angry,angry,6,2,TRUE
2,23,audio/23_Inside.mp3,sad,angry,3,2,FALSE
2,24,audio/25_Old_Blacktop.mp3,sad,relaxed,3,3,FALSE
2,25,audio/12_Skinny_Love.mp3,sad,relaxed,2,3,FALSE
2,26,audio/14_Get_Lucky.mp3,happy,happy,5,6,TRUE
2,27,audio/12_Skank_Down.mp3,happy,none of these,2,2,FALSE
2,28,audio/13_Motown_Junk.mp3,angry,angry,6,2,TRUE
2,29,audio/4_Come_On_Baby.mp3,relaxed,relaxed,2,5,TRUE
2,30,audio/7_Digital.mp3,relaxed,relaxed,2,2,TRUE
2,31,audio/2_Sweet_Song.mp3,relaxed,sad,2,2,FALSE
2,32,audio/16_Restless.mp3,happy,angry,6,2,FALSE
2,33,audio/2_Inside.mp3,sad,sad,2,3,TRUE
2,34,audio/7_Here_Today.mp3,sad,sad,3,3,TRUE
2,35,audio/13_Boser_Wolf.mp3,sad,none of these,2,2,FALSE
2,36,audio/21_Skank_Down.mp3,happy,none of these,2,2,FALSE
2,37,audio/26_Make_Light.mp3,happy,none of these,2,2,FALSE
2,38,audio/28_Valerie.mp3,happy,none of these,2,2,FALSE
2,39,audio/2_Boser_Wolf.mp3,sad,none of these,2,2,FALSE
2,40,audio/8_Restless.mp3,happy,none of these,2,2,FALSE
2,41,audio/11_Be_Happy.mp3,happy,none of these,2,2,FALSE
3,0,audio/4_Destiny.mp3,relaxed,happy,6,6,FALSE
3,1,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,relaxed,3,4,FALSE
3,2,audio/2_Sweet_Song.mp3,relaxed,relaxed,2,4,TRUE
3,3,audio/14_Get_Lucky.mp3,happy,happy,6,5,TRUE
3,4,audio/7_Here_Today.mp3,sad,sad,2,3,TRUE
3,5,audio/21_Skank_Down.mp3,happy,none of these,6,3,FALSE
3,6,audio/24_Restless.mp3,happy,none of these,5,4,FALSE
